monthly_income,monthly_spend,savings_rate
127450.71,88219.03,0.31
117926.04,80870.47,0.31
129715.33,77009.93,0.41
142845.45,80917.61,0.43
116487.7,60124.31,0.48
116487.95,77803.28,0.33
143688.19,83571.13,0.42
131511.52,94778.94,0.28
112957.88,74817.3,0.34
128138.4,71915.06,0.44
113048.73,74982.43,0.34
113014.05,89154.02,0.21
123629.43,83287.51,0.33
91300.8,74702.4,0.18
94126.23,85132.67,0.1
111565.69,80970.78,0.27
104807.53,89686.45,0.14
124713.71,72979.47,0.41
106379.64,76723.38,0.28
98815.44,76078.92,0.23
141984.73,65364.85,0.54
116613.36,82961.2,0.29
121012.92,82610.55,0.32
98628.78,80051.13,0.19
111834.26,77654.13,0.31
121663.84,65846.29,0.46
102735.1,75793.55,0.26
125635.47,76572.85,0.39
110990.42,71977.23,0.35
115624.59,78387.14,0.32
110974.4,84040.51,0.24
147784.17,98861.86,0.33
119797.54,81745.78,0.32
104134.34,82575.5,0.21
132338.17,79255.54,0.4
101687.35,60812.29,0.4
123132.95,79734.86,0.35
90604.95,80602.3,0.11
100077.21,104632.42,-0.05
122952.92,78076.39,0.36
131077.0,83015.47,0.37
122570.52,79652.88,0.35
118265.28,68313.22,0.42
115483.44,91428.23,0.21
97822.17,87519.33,0.11
109202.34,87910.32,0.19
113090.42,70906.13,0.37
135856.83,94027.94,0.31
125154.27,65981.49,0.47
93554.4,85868.57,0.08
124861.26,101904.56,0.18
114223.77,70094.64,0.39
109846.17,74337.02,0.32
129175.14,80996.51,0.37
135464.99,74965.24,0.45
133969.2,64493.37,0.52
107411.74,80685.63,0.25
115361.81,69376.96,0.4
124968.95,84735.92,0.32
134633.18,70805.76,0.47
112812.39,95499.34,0.15
117215.12,72167.47,0.38
103404.98,76779.38,0.26
102056.9,88135.17,0.14
132187.89,67691.36,0.49
140343.6,82274.6,0.41
118919.85,93071.43,0.22
135052.99,63925.17,0.53
125424.54,81846.34,0.35
110323.2,82598.83,0.25
125420.93,87818.23,0.3
143070.55,67630.49,0.53
119462.61,66795.43,0.44
143469.65,85219.42,0.41
80703.82,82969.85,-0.03
123757.39,48711.6,0.61
125196.72,40514.24,0.68
109799.63,31378.04,0.71
123483.81,34277.57,0.72
124396.09,45436.78,0.63
109284.73,34157.07,0.69
147986.62,41731.67,0.72
127107.49,40364.57,0.68
102130.45,34787.2,0.66
129848.3,57151.55,0.56
105379.77,45071.35,0.57
131806.27,23798.86,0.82
137378.93,41491.63,0.7
107689.77,34705.71,0.68
134450.64,46819.47,0.65
126191.71,33659.83,0.73
132330.9,39082.11,0.7
148451.89,44039.9,0.7
116319.18,46926.04,0.6
108693.96,30397.63,0.72
106657.28,37323.99,0.65
107762.85,36200.44,0.66
118843.47,34773.37,0.71
125117.28,54123.63,0.57
124150.36,43239.85,0.65
132407.75,29912.93,0.77
120195.03,47342.9,0.61
141803.01,56977.25,0.6
116030.15,48259.72,0.58
160802.54,27845.04,0.83
129385.01,36126.13,0.72
107142.64,50135.29,0.53
103936.61,34338.64,0.67
127237.09,43550.56,0.66
116648.06,46197.07,0.6
130710.01,32584.56,0.75
127098.56,39523.8,0.69
118907.57,14069.86,0.88
107298.09,31804.9,0.7
97277.29,37979.45,0.61
113302.28,30017.73,0.74
132845.98,53059.29,0.6
123211.41,28558.87,0.77
101313.92,36479.64,0.64
122597.71,41045.92,0.67
125779.76,51530.19,0.59
106742.14,28513.1,0.73
122305.88,49305.31,0.6
120873.13,40081.86,0.67
102855.45,32147.93,0.69
125366.81,43696.83,0.65
128411.77,41592.48,0.68
136245.77,35198.26,0.74
135807.03,40558.42,0.7
99334.96,36917.49,0.63
105932.62,40908.14,0.61
127725.53,45297.05,0.65
127706.79,52688.13,0.59
127725.72,30097.48,0.76
177790.97,57064.27,0.68
128563.36,24383.3,0.81
137033.48,38785.72,0.72
134310.03,44706.54,0.67
129770.87,42247.93,0.67
115270.96,35018.4,0.7
131384.54,38335.02,0.71
108407.62,36055.99,0.67
116447.72,35285.08,0.7
112719.55,46796.82,0.58
121228.11,42856.12,0.65
154719.88,34456.72,0.78
91991.02,47196.8,0.49
130293.9,42458.4,0.67
95809.26,46502.9,0.51
112921.02,45037.03,0.6
38368.04,32628.57,0.15
40518.55,44106.24,-0.09
50978.35,39283.39,0.23
49882.96,53328.62,-0.07
44832.79,32341.91,0.28
45938.62,32121.95,0.3
55221.32,33804.25,0.39
40267.43,23132.73,0.43
49376.78,34319.71,0.3
43382.46,32686.07,0.25
43258.55,39052.76,0.1
53790.21,40392.29,0.25
51603.33,51133.2,0.01
51508.08,44652.97,0.13
55443.83,33961.67,0.39
45168.03,31711.1,0.3
50455.62,41443.43,0.18
42517.87,28758.37,0.32
47593.33,50820.21,-0.07
43958.86,46256.08,-0.05
45775.97,34715.77,0.24
49761.26,26008.06,0.48
38454.23,47477.11,-0.23
61739.1,37198.22,0.4
36951.86,46664.71,-0.26
35286.49,26839.01,0.24
54264.89,33804.37,0.38
51333.3,38036.71,0.26
49992.96,38328.86,0.23
50026.76,34849.54,0.3
44902.03,42359.95,0.06
37821.97,30526.66,0.19
45606.44,37003.34,0.19
39582.71,38842.07,0.02
52800.96,41601.07,0.21
43823.54,42981.3,0.02
38396.02,30127.51,0.22
42428.91,27261.2,0.36
48303.45,46943.74,0.03
40490.2,40326.2,0.0
38422.24,32760.59,0.15
46949.5,48858.06,-0.04
46959.73,38809.72,0.17
40944.45,46255.08,-0.13
41231.69,38472.63,0.07
46856.4,52425.24,-0.12
33415.33,50287.39,-0.5
33740.29,36257.25,-0.07
39252.45,44801.0,-0.14
43292.42,42517.63,0.02
47487.26,47580.42,-0.0
56802.85,31245.54,0.45
51861.28,42802.36,0.17
43720.49,45408.97,-0.04
44847.87,25688.82,0.43
36979.77,29717.19,0.2
44851.89,23725.37,0.47
42690.73,36114.15,0.15
47581.75,43022.8,0.1
38382.15,48516.5,-0.26
49154.77,38518.66,0.22
57261.91,49400.31,0.14
44129.92,28339.29,0.36
48213.69,26076.32,0.46
50521.15,37611.17,0.26
41790.24,40688.46,0.03
46792.74,37771.14,0.19
45100.74,23527.91,0.48
45781.41,37376.16,0.18
38815.92,28868.71,0.26
45196.08,42687.71,0.06
48983.99,40566.19,0.17
56609.15,31420.84,0.44
52674.17,34402.93,0.35
62225.46,30585.51,0.51
44498.57,10975.59,0.75
52641.14,11862.29,0.77
37114.19,20240.42,0.45
49032.37,21298.61,0.57
40757.94,15478.42,0.62
38657.02,23192.96,0.4
44143.76,11692.4,0.74
36718.06,19669.6,0.46
40570.81,13944.92,0.66
35416.98,16740.82,0.53
