STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05
GHCND:US-SEATTLE-T1,SEATTLE,20140101,72,7,1,87,48,89,316,306,73,67,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140102,74,3,8,41,27,119,129,265,79,175,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140103,146,4,3,38,40,104,191,260,94,112,1,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140104,42,9,1,55,52,66,67,175,172,94,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140105,33,12,6,68,26,124,123,329,104,190,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140106,102,0,6,37,61,132,230,155,85,10,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140107,33,17,8,63,59,51,159,185,169,102,1,-9999,1,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140108,60,19,5,90,48,78,92,93,194,142,-9999,-9999,-9999,1,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140109,144,10,3,41,63,24,55,107,11,52,-9999,1,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140110,40,3,9,88,52,74,45,169,107,109,-9999,-9999,-9999,-9999,1
GHCND:US-SEATTLE-T1,SEATTLE,20140111,56,5,4,58,59,120,23,151,192,192,-9999,-9999,-9999,1,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140112,44,18,6,68,38,21,214,178,13,161,1,-9999,1,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140113,82,5,2,35,57,35,251,183,121,4,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140114,4,11,8,83,49,102,102,202,116,163,-9999,-9999,1,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140115,23,17,7,74,54,141,123,220,31,143,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140116,75,1,3,50,33,126,122,276,54,180,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140117,140,16,4,72,38,110,218,280,55,40,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140118,131,15,5,36,56,134,88,247,8,105,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140119,70,17,6,81,46,94,308,283,124,75,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140120,27,18,8,93,40,118,12,196,57,148,-9999,1,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140121,46,12,3,74,45,94,82,109,186,92,-9999,-9999,1,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140122,17,10,8,44,27,46,228,230,180,185,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140123,100,0,7,85,64,29,59,174,156,67,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140124,28,15,4,58,37,130,270,46,99,63,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140125,73,3,4,88,44,103,277,23,144,20,-9999,-9999,-9999,1,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140126,122,15,9,74,50,142,266,17,129,165,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140127,53,3,1,45,26,21,145,107,182,71,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140128,9,0,5,91,29,65,272,208,73,156,-9999,1,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140129,132,15,6,41,56,57,45,80,130,84,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140130,38,9,6,77,28,32,206,54,85,184,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140131,51,14,6,36,39,34,19,24,61,159,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140201,38,1,5,82,42,60,88,341,189,195,1,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140202,51,14,7,77,34,142,276,156,53,87,-9999,-9999,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140203,65,6,8,58,40,76,55,245,35,77,-9999,1,-9999,-9999,-9999
GHCND:US-SEATTLE-T1,SEATTLE,20140204,86,3,1,41,50,30,187,196,85,105,-9999,-9999,-9999,-9999,-9999
