order,name,height(cm)
1,George Washington,189
2,John Adams,170
3,Thomas Jefferson,189
4,James Madison,163
5,James Monroe,183
6,John Quincy Adams,171
7,Andrew Jackson,185
8,Martin Van Buren,168
9,William Henry Harrison,173
10,John Tyler,183
11,James K. Polk,173
12,Zachary Taylor,173
13,Millard Fillmore,175
14,Franklin Pierce,178
15,James Buchanan,183
16,Abraham Lincoln,193
17,Andrew Johnson,178
18,Ulysses S. Grant,173
19,Rutherford B. Hayes,174
20,James A. Garfield,183
21,Chester A. Arthur,183
22,Grover Cleveland,180
23,Benjamin Harrison,168
24,William McKinley,170
25,Theodore Roosevelt,178
26,William Howard Taft,182
27,Woodrow Wilson,180
28,Warren G. Harding,183
29,Calvin Coolidge,178
30,Herbert Hoover,182
31,Franklin D. Roosevelt,188
32,Harry S. Truman,175
33,Dwight D. Eisenhower,179
34,John F. Kennedy,183
35,Lyndon B. Johnson,192
36,Richard Nixon,182
37,Gerald Ford,183
38,Jimmy Carter,177
39,Ronald Reagan,185
40,George H. W. Bush,188
41,Bill Clinton,188
42,George W. Bush,182
43,Barack Obama,185
44,Donald Trump,191
45,Joe Biden,182
