YearSold,SqFt,Bedrooms,Bathrooms,GarageCars,LotSize,SalePrice,ZipCode
2009,997,5,3,1,3908,243396,10004
2010,2730,1,1,0,10567,445070,10002
2008,2991,2,2,2,5530,573707,10002
2010,1408,2,1,2,7256,282152,10004
2010,1947,1,3,2,4635,370233,10001
2007,986,2,1,0,10162,207403,10004
2008,3311,1,1,1,11762,565897,10002
2008,2594,5,1,0,4560,454892,10001
2008,1459,5,2,1,7415,303621,10001
2010,2755,1,1,2,5391,458485,10001
2009,3250,5,2,2,13157,608815,10002
2008,2169,5,2,0,13835,422986,10001
2010,2786,5,1,0,7951,485496,10001
2007,2334,3,1,1,7468,419132,10001
2009,946,4,1,1,10007,222321,10004
2007,2534,2,3,0,14042,505805,10001
2009,2643,3,1,1,11064,424122,10001
2010,1288,5,2,0,11444,319362,10002
2006,2759,1,1,1,8413,491010,10003
2009,2463,5,3,0,8941,435305,10003
2007,3398,4,1,0,11506,582864,10004
2010,3185,5,3,0,6820,572781,10001
2009,1440,1,3,1,4898,258043,10003
2006,2602,4,1,1,9546,454381,10001
2006,3320,5,2,1,2077,553019,10004
2008,2769,4,3,0,9577,550126,10001
2008,2998,2,1,1,12813,544852,10002
2007,2238,2,1,1,6227,416312,10002
2009,2434,5,2,0,2600,455833,10004
2009,1062,4,3,2,3065,232413,10001
2008,2587,1,3,0,4136,436967,10002
2009,2991,5,1,1,12641,559860,10002
2009,3193,2,1,0,12535,524612,10001
2006,1423,2,2,2,12055,317874,10003
2008,1816,5,2,0,11510,369123,10002
2010,1680,4,3,1,14903,370212,10003
2008,2849,2,3,2,13789,551936,10004
2010,2127,4,1,1,8943,411764,10003
2006,3101,2,3,2,13954,565792,10002
2007,1252,2,2,2,9804,295898,10001
2009,1983,3,2,0,8565,354023,10003
2006,2856,2,1,0,7984,492670,10004
2009,2482,1,2,1,7142,449088,10002
2007,3055,5,2,0,6670,537569,10004
2007,1954,5,2,0,4190,377692,10003
2006,1203,4,2,2,11184,258979,10004
2007,2999,2,1,0,4712,511966,10004
2010,2901,1,1,2,4192,484027,10002
2007,2496,4,3,2,3248,457189,10003
2009,1427,3,2,2,13246,341268,10002
2009,1386,4,3,1,14790,317683,10004
2009,2448,4,1,1,6033,412629,10003
2009,2243,2,1,1,3997,356808,10004
2010,2245,3,1,2,5687,421931,10002
2008,903,4,1,1,12343,200870,10001
2006,1053,1,1,1,6018,238099,10003
2009,3357,1,1,0,13302,526317,10002
2007,2296,5,1,1,3970,450739,10001
2009,898,3,2,1,10389,229587,10001
2007,3000,3,3,2,7765,546860,10001
2007,2684,5,1,2,12818,497655,10001
2009,2719,4,2,2,3202,499938,10002
2010,1677,3,2,2,10135,349202,10003
2007,1137,1,3,2,7567,274817,10002
2007,1756,1,1,2,9667,330185,10001
2009,2504,2,3,1,7742,465332,10002
2007,960,3,1,2,7788,211591,10001
2007,2403,4,2,2,7408,453035,10003
2009,1197,5,2,0,12227,290887,10002
2009,2100,5,2,1,10669,388303,10003
2006,1615,4,2,1,11446,312624,10002
2010,2327,2,3,1,2922,437681,10001
2010,2719,5,1,2,2419,490524,10002
2007,2215,3,1,2,4204,392682,10004
2010,1958,2,3,2,12789,404435,10001
2007,2018,3,1,0,3120,356511,10002
2006,1200,1,2,2,13260,254984,10003
2009,1439,2,1,0,2950,241633,10001
2009,1259,5,2,1,4336,281274,10002
2009,1754,2,3,2,7373,336151,10003
2010,1269,2,1,0,4243,245244,10002
2006,1845,2,3,0,4645,308633,10004
2010,2493,2,1,2,12049,478680,10004
2010,2885,3,2,1,6612,523037,10001
2006,3077,1,3,1,3865,529265,10003
2006,1362,4,1,1,13104,314265,10001
2006,3285,2,2,0,13045,605194,10002
2006,2599,5,3,0,8028,510221,10004
2009,2874,2,3,0,9326,478760,10001
2008,1025,5,1,0,8371,208271,10002
2008,1597,3,1,1,8359,298130,10003
2006,3131,5,1,2,9863,565760,10001
2008,1759,4,2,0,5228,348887,10003
2008,2304,1,1,0,5719,371242,10004
2006,1252,5,3,1,13420,314795,10003
2008,1615,5,3,2,4371,333255,10002
2010,1458,1,1,2,4891,261142,10003
2007,1346,4,1,1,5756,243534,10002
2007,2015,2,3,1,6225,362960,10002
2006,816,5,2,2,2094,179648,10001
2009,2043,1,1,0,4674,325454,10001
2006,3005,3,1,2,8898,548516,10004
2009,3324,1,3,1,12147,571553,10004
2007,1869,3,1,0,2793,378876,10004
2006,3365,4,2,0,12026,606694,10003
2010,2946,2,3,1,4116,522944,10003
2008,2568,1,1,1,7779,421369,10003
2009,1860,5,3,1,14298,423400,10001
2008,3127,4,1,2,13517,559088,10001
2008,3344,1,1,2,13111,580373,10002
2006,1101,5,1,0,12789,306718,10002
2008,980,1,2,1,13397,227269,10004
2010,1406,3,2,0,14999,332882,10001
2008,1499,1,3,0,8166,282284,10004
2006,1792,1,1,0,2814,296542,10002
2010,1939,1,1,0,2345,359301,10004
2007,990,4,2,1,12541,238083,10001
2008,3100,1,1,0,10554,555910,10001
2006,1780,5,2,1,4443,365484,10001
2007,2806,3,1,1,12457,491521,10002
2007,1984,3,3,2,12380,422888,10002
2009,927,1,1,1,9783,219350,10001
2010,2865,4,1,2,13197,545777,10004
2008,2616,4,2,1,13473,467414,10002
2006,2558,5,1,1,2984,437109,10002
2009,3413,1,1,1,9790,567869,10004
2010,1369,3,2,2,11831,307354,10001
2009,2146,4,3,2,2827,429294,10004
2010,2695,1,3,0,12922,496570,10001
2010,1425,4,2,2,5531,279636,10003
2008,2486,4,2,2,9147,480944,10004
2010,954,3,2,2,6451,242664,10003
2009,3337,2,2,2,13127,609626,10003
2010,2209,5,2,0,5876,440593,10003
2008,1584,5,3,2,7959,371155,10001
2008,1045,3,3,1,2126,242311,10001
2009,2300,4,2,1,5177,426627,10001
2007,2505,1,1,2,13248,417774,10003
2007,1337,4,2,2,10795,313027,10004
2010,2690,3,1,1,13641,497576,10003
2006,2641,5,2,1,8024,496653,10004
2010,1720,4,2,0,7109,315792,10002
2009,3255,5,3,1,6146,572566,10001
2009,1324,1,1,1,9196,278751,10001
2009,2329,5,1,2,13725,460233,10001
2009,835,5,3,1,13559,267057,10002
2009,1484,2,3,0,5368,295770,10002
2008,819,2,3,1,5797,202836,10002
2007,3168,2,3,2,3792,572841,10002
2009,3359,5,1,2,13053,603188,10004
2006,1199,3,1,1,7732,247968,10001
2006,1771,5,2,2,5476,350832,10003
2006,2706,3,2,0,5417,461461,10004
2006,3318,3,3,0,3645,562451,10002
2008,1966,2,3,1,11397,395533,10001
2006,1915,4,3,1,5030,367765,10004
2009,1633,1,2,1,4872,328181,10002
2010,2623,2,2,2,5072,450773,10003
2006,2782,2,2,0,3854,465124,10004
2008,1653,4,2,0,6021,316218,10003
2008,850,1,2,2,6662,225425,10003
2006,1374,5,2,0,8514,299573,10004
2010,1948,5,2,1,7031,410929,10003
2006,2997,2,3,1,4708,492962,10002
2008,3161,1,3,1,13694,574573,10001
2007,3417,2,3,0,9112,611178,10001
2009,3152,3,3,1,11524,580517,10001
2008,2515,2,2,2,10393,486738,10003
2006,1481,2,1,2,5507,270325,10002
2009,1637,5,2,0,8456,367604,10004
2006,1877,5,1,2,6212,412163,10004
2006,3291,5,3,2,9970,606303,10003
2007,3460,3,2,0,10766,591887,10001
2009,3111,5,3,1,2536,590825,10002
2009,2395,1,2,1,3625,445216,10001
2007,804,4,3,1,12314,223584,10002
